datetime,Open,High,Low,Close,Volume,Returns,MA20,MA50,MA200,Cumulative_Return,Volatility_20,Drawdown,Weekday,Rolling_Sharpe,RSI,BB_Middle,BB_Upper,BB_Lower
2021-08-04,17076.5996,17310.6504,17076.5996,17253.0508,0.0,,,,,1.0,,0.0,Wednesday,,,,,
2021-08-05,17199.5,17304.8496,17132.25,17193.3008,0.0,-0.0034631556292641363,,,,0.9965368443707359,,-0.00346315562926413,Thursday,,,,,
2021-08-06,17200.0,17263.0996,17111.8008,17136.1504,0.0,-0.003323992330780512,,,,0.9932243635427074,,-0.0067756364572926575,Friday,,,,,
2021-08-07,17136.1504,18809.0508,16245.9004,16878.5996,0.0,-0.015029676676973969,,,,0.9782965224909672,,-0.02170347750903275,Saturday,,,,,
2021-08-09,17268.4492,17273.1504,17079.75,17202.5508,0.0,0.019193014093420446,,,,0.9970729814346806,,-0.0029270185653194735,Monday,,,,,
2021-08-10,17323.25,17329.5,17186.4492,17254.4492,0.0,0.003016901423712026,,,,1.0000810523319157,,0.0,Tuesday,,,,,
2021-08-11,17164.8496,17169.6504,17023.1504,17147.6504,0.0,-0.006189638322387059,,,,0.9938909123249089,,-0.006189638322387045,Wednesday,,,,,
2021-08-12,17172.9492,17250.0,17171.4004,17233.5,0.0,0.005006493484378538,,,,0.9988668207016466,,-0.001214133221940177,Thursday,,,,,
2021-08-13,17319.1992,17382.0,17278.0,17350.1504,0.0,0.006768816549162837,,,,1.0056279669680215,,0.0,Friday,,,,,
2021-08-16,17370.25,17440.6992,17352.75,17421.3008,0.0,0.004100852059472748,,,,1.0097518984874256,,0.0,Monday,,,,,
2021-08-17,17278.0,17396.4004,17224.9492,17371.1504,0.0,-0.002878682859319137,,,,1.0068451430050849,,-0.002878682859319108,Tuesday,,,,,
2021-08-18,17472.3008,17511.5508,17229.0996,17273.0,0.0,-0.005650195740634301,,,,1.0011562708665993,,-0.008512613478323093,Wednesday,,,,,
2021-08-20,17184.8008,17215.6504,17085.0996,17152.5508,0.0,-0.006973264632663678,,,,0.9941749432511958,,-0.01542651740448681,Friday,,,,,
2021-08-21,17152.5508,17152.5508,17152.5508,17152.5508,0.0,0.0,,,,0.9941749432511958,,-0.01542651740448681,Saturday,,46.40943193997857,,,
2021-08-23,17182.5996,17253.8008,17087.4004,17220.9492,0.0,0.00398765179578997,,,,0.9981393667489808,,-0.011500381188527654,Monday,,48.906545575633785,,,
2021-08-24,17203.8496,17486.4004,17200.3008,17461.0996,0.0,0.013945247570906316,,,,1.012058667328563,,0.0,Tuesday,,58.12349071661038,,,
2021-08-25,17495.3496,17499.3496,17376.8496,17403.6504,0.0,-0.0032901249815906475,,,,1.00872886782435,,-0.0032901249815906635,Wednesday,,58.112956127074305,,,
2021-08-26,17402.0,17485.1992,17397.0508,17441.4004,0.0,0.002169085170775409,,,,1.0109168866528808,,-0.0011281763721227927,Thursday,,69.69492092927405,,,
2021-08-27,17360.4004,17539.1992,17352.8008,17520.25,0.0,0.004520829646225133,,,,1.0154870696839309,,0.0,Friday,,63.41980604466409,,,
2021-08-30,17689.3496,17869.5996,17671.5996,17843.9004,0.0,0.018472932749247217,17295.56026,,,1.0342460940299323,,0.0,Monday,,70.2498311171988,17295.56026,17687.748114424572,16903.372405575425
2021-08-31,17850.1992,18095.1504,17837.25,18070.6992,0.0,0.012710158368738789,17336.44268,,,1.0473915256773023,0.1400817043504042,0.0,Tuesday,,79.2948186394313,17336.44268,17858.827820095517,16814.057539904483
2021-09-01,18218.0508,18247.3496,18016.75,18036.0,0.0,-0.0019201913338250387,17378.57764,,,1.045380333546575,0.1393368680605918,-0.0019201913338250415,Wednesday,,76.32361361645573,17378.57764,17982.00528156748,16775.14999843252
2021-09-02,18069.6992,18203.0,18025.8496,18181.8008,0.0,0.008083876691062475,17430.86016,,,1.0538310592582272,0.1389703705192216,0.0,Thursday,,76.76790044746932,17430.86016,18120.83660559368,16740.88371440632
2021-09-03,18181.8008,18286.1504,18030.8008,18130.5508,0.0,-0.002818752694727533,17493.45772,,,1.0508605701201554,0.12389829060668048,-0.002818752694727576,Friday,,73.12449805900928,17493.45772,18199.45112666594,16787.464313334058
2021-09-06,18130.5508,18200.75,18048.3008,18077.1992,0.0,-0.002942635366599111,17537.19014,,,1.0477682706411553,0.1112485789236359,-0.005753093499957483,Monday,,72.97217240562536,17537.19014,18274.953982817573,16799.426297182425
2021-09-07,18077.1992,18185.4004,17900.75,18103.9492,0.0,0.0014797646307951329,17579.66514,,,1.0493187210693196,0.11128874321293755,-0.0042818420934411395,Tuesday,,78.35331357556379,17579.66514,18346.146429961853,16813.18385003815
2021-09-08,18103.9492,18243.9004,18063.3008,18207.4492,0.0,0.005716984667632596,17632.65508,,,1.0553176601091327,0.10700150081379008,0.0,Wednesday,,86.41603028558973,17632.65508,18419.642923540338,16845.667236459663
2021-09-09,18207.4492,18240.3008,18095.5996,18160.5508,0.0,-0.0025757809062016968,17679.00762,,,1.0525993930302462,0.10851293359004745,-0.002575780906201744,Thursday,,83.70568304566683,17679.00762,18476.145898560684,16881.869341439316
2021-09-13,18160.5508,18185.8496,18009.6992,18126.5996,0.0,-0.0018695027686054244,17717.83008,,,1.0506315555507437,0.10849151255327362,-0.004440468245271707,Monday,,80.99738672618999,17717.83008,18523.120175928423,16912.539984071576
2021-09-14,18126.5996,18229.6504,18091.5,18103.8496,0.0,-0.0012550616498419043,17751.95752,,,1.0493129481772583,0.10892059484753083,-0.005689956833711651,Tuesday,,75.84544668169792,17751.95752,18562.171977776987,16941.743062223013
2021-09-15,18103.8496,18201.1504,18065.6992,18158.25,0.0,0.003004907862248274,17791.3125,,,1.052466036905195,0.10745667614016965,-0.002702146767488941,Wednesday,,80.41758129068654,17791.3125,18600.107405848714,16982.517594151286
2021-09-16,18137.75,18378.9492,18117.5996,18356.75,0.0,0.010931670177467545,17845.5,,,1.063971248493629,0.10742882583447658,0.0,Thursday,,82.6642164895361,17845.5,18653.298139757237,17037.701860242763
2021-09-17,18356.75,18633.8008,18306.0,18476.25,0.0,0.0065098669426777445,17911.68496,,,1.0708975597521573,0.10119245358924404,0.0,Friday,,83.15298479512572,17911.68496,18697.026012891274,17126.343907108723
2021-09-20,18177.9492,18177.9492,18177.9492,18177.9492,0.0,-0.016145094377917668,17962.954879999998,,,1.053607817580877,0.12299314594032827,-0.016145094377917644,Monday,,61.79175110303837,17962.954879999998,18669.563173652896,17256.3465863471
2021-09-21,18177.9492,18341.1992,17959.75,18310.0508,0.0,0.007267134402598074,18017.409959999997,,,1.0612645271988652,0.12391259447386387,-0.00899528854610644,Tuesday,,59.05431721787872,18017.409959999997,18646.904095569487,17387.915824430507
2021-09-22,18310.0508,18324.8496,18130.5,18152.0996,0.0,-0.008626475247135779,18051.95996,,,1.052109555024321,0.12361285745828032,-0.017544166159258433,Wednesday,,54.01727051652385,18051.95996,18626.330947645627,17477.588972354373
2021-09-23,18152.0996,18590.0996,18152.0996,18566.1992,0.0,0.022812765967855198,18110.0874,,,1.076111084075635,0.1422050899269664,0.0,Thursday,,61.21803896189395,18110.0874,18641.935295575247,17578.239504424753
2021-09-24,18566.1992,18691.3008,18523.5996,18630.0,0.0,0.0034363953177880546,18169.51738,,,1.0798090271663723,0.14214535524249672,0.0,Friday,,64.46961147850374,18169.51738,18649.895242530805,17689.139517469197
2021-09-25,18630.0,20268.0996,18630.0,20268.0996,0.0,0.08792805152979066,18306.90986,,,1.17475453094939,0.3323759811143169,0.0,Saturday,,83.08913818616043,18306.90986,19301.748018062644,17312.071701937355
2021-09-27,18630.0,18820.4492,18630.0,18706.8496,0.0,-0.0770299155230123,18350.05732,,,1.0842632886700827,0.4445482023434345,-0.07702991552301232,Monday,,56.22174931409106,18350.05732,19335.1492508418,17364.9653891582
2021-09-28,18706.8496,18791.0996,18261.6992,18534.75,0.0,-0.009199817375984076,18373.25986,,,1.0742882644268341,0.4448304980270665,-0.08552107174369723,Tuesday,,53.330490128097296,18373.25986,19352.489665035555,17394.03005496444
2021-09-29,18534.75,18534.75,18271.75,18371.3008,0.0,-0.008818527360768269,18390.0249,,,1.0648146239736338,0.4462343901252634,-0.09358542919337146,Wednesday,,52.09482463509795,18390.0249,19356.338633079667,17423.711166920333
2021-09-30,18371.3008,18465.5508,18264.8008,18303.8008,0.0,-0.0036742090685271123,18396.124900000003,,,1.0609022724259296,0.4458133168142883,-0.0969157858292743,Thursday,,51.74968503907774,18396.124900000003,19358.43612174495,17433.813678255054
2021-10-01,18303.8008,18303.8008,18042.3008,18137.8008,0.0,-0.009069154642460941,18396.4874,,,1.0512807856567605,0.4470193131173314,-0.10510599622275392,Friday,,50.326011674012605,18396.4874,19358.382768588523,17434.59203141148
2021-10-04,18137.8008,18405.9492,18137.8008,18312.4492,0.0,0.009628973320734646,18408.2499,,,1.0614035402944504,0.4480010254670929,-0.09648908573549747,Monday,,51.447254489553124,18408.2499,19359.399139693716,17457.10066030628
2021-10-05,18312.4492,18387.75,18232.0,18367.0508,0.0,0.002981665609207651,18421.40498,,,1.0645682907280376,0.4480530684763875,-0.09379511831489126,Tuesday,,50.09936330623299,18421.40498,19362.05318752628,17480.75677247372
