datetime,Open,High,Low,Close,Returns,MA20,MA50,MA200,Cumulative_Return,Volatility_20,Drawdown,Weekday,Rolling_Sharpe,RSI,BB_Middle,BB_Upper,BB_Lower
2021-08-04,35626.8516,36210.4492,35613.9492,35981.5,,,,,1.0,,0.0,Wednesday,,,,,
2021-08-05,35819.9492,36062.3984,35674.5508,35795.0508,-0.0051818073176493895,,,,0.9948181926823506,,-0.005181807317649424,Thursday,,,,,
2021-08-06,35986.8516,36068.1016,35735.3516,35867.8984,0.002035130510277261,,,,0.9968427775384573,,-0.003157222461542787,Friday,,,,,
2021-08-09,36112.75,36124.6016,35780.6484,36011.6484,0.004007761993660708,,,,1.000837886135931,,0.0,Monday,,,,,
2021-08-10,36259.1016,36275.5508,35920.75,36007.5508,-0.00011378540505802004,,,,1.0007240053916597,,-0.00011378540505801913,Tuesday,,,,,
2021-08-11,35871.6992,35894.1016,35547.8984,35786.6016,-0.006136190745858694,,,,0.9945833720106168,,-0.006249277941967146,Wednesday,,,,,
2021-08-12,35864.8984,35991.75,35787.5,35986.1016,0.005574712073247001,,,,1.0001278879424151,,-0.0007094037939123176,Thursday,,,,,
2021-08-13,36110.5508,36224.75,35981.3008,36130.8516,0.00402238624258211,,,,1.0041507885996974,,0.0,Friday,,,,,
2021-08-16,36202.3008,36220.3516,36043.75,36048.1016,-0.0022902864542501122,,,,1.001850995650543,,-0.0022902864542500845,Monday,,,,,
2021-08-17,35741.0,35903.6484,35620.6016,35882.1016,-0.004604958170668305,,,,0.9972375137223299,,-0.0068846979515976865,Tuesday,,,,,
2021-08-18,36044.5508,36062.1016,35437.6484,35482.6992,-0.011130964525221665,,,,0.9861372983338664,,-0.017939029148153235,Wednesday,,,,,
2021-08-20,35193.3008,35221.3008,34935.3516,35002.5508,-0.013531901766932197,,,,0.9727929852841046,,-0.03122818173485854,Friday,,,,,
2021-08-23,35075.1016,35224.8984,34837.6484,35080.5508,0.0022284090221218467,,,,0.9749607659491686,,-0.029069361874659066,Monday,,,,,
2021-08-24,35175.6016,35790.0,35134.6484,35678.8516,0.017055057185704214,,,,0.9915887775662496,,-0.012510084318079012,Tuesday,,44.55069549085814,,,
2021-08-25,35689.1484,35761.25,35505.3984,35546.75,-0.0037025182727574713,,,,0.9879174019982494,,-0.016166283775055048,Wednesday,,42.52762107505458,,,
2021-08-26,35612.4492,35771.8516,35555.3516,35602.8008,0.0015768192591445462,,,,0.9894751691841643,,-0.014614955823515782,Thursday,,46.54058426391767,,,
2021-08-27,35448.8984,35715.3984,35448.8984,35605.4492,7.438740606069416e-05,,,,0.9895487736753614,,-0.01454165558610855,Friday,,45.154991276927134,,,
2021-08-30,35920.3008,36394.1484,35913.8984,36360.25,0.021199024782981635,,,,1.0105262426524746,,0.0,Monday,,55.25081488175932,,,
2021-08-31,36310.3984,36523.1016,36226.6484,36393.8984,0.0009254171794748078,,,,1.0114614009977354,,0.0,Tuesday,,55.76801641826395,,,
2021-09-01,36946.5508,36990.8984,36547.4492,36552.5,0.004357917315062965,35840.185359999996,,,1.0158692661506612,,0.0,Wednesday,,61.651468863997145,35840.185359999996,36628.03213480371,35052.33858519628
2021-09-02,36617.8516,36862.5,36526.4492,36855.3516,0.00828538677245061,35883.87794,,,1.024286135930965,0.1305491384525638,0.0,Thursday,,62.820589212894085,35883.87794,36792.404671538156,34975.35120846184
